20221210	19:46:37	8d86c1c1-99b1-4ffe-9cb1-37465f4f024a	/new-page	GET
20221210	19:46:37	11e8c016-03a0-487d-b19b-55c64da92131	/css/style.css	GET
20221210	19:46:37	21c8c5da-3b9d-4d80-907d-d7e27fef5beb	/img/img1.jpg	GET
20221210	19:46:38	2e22bc45-30bf-4fd5-b58c-d7898ab8214a	/favicon.ico	GET
20221210	19:47:44	3fbc3dd2-a92a-46fe-9c7d-05a2e67e4063	/new-page	GET
20221210	19:48:45	5583a147-6469-4cb1-a092-fa0a78c169d5	/new-page	GET
20221210	19:48:45	bc97417e-e67b-42a3-be6f-feac3ec79f5d	/css/style.css	GET
20221210	19:48:45	34bba677-8303-485c-93a2-09470134e6bf	/img/img1.jpg	GET
20221210	19:48:50	b3b08bb8-623a-4fec-9f81-317c62a16f52	/	GET
20221210	19:48:50	6bf0e009-f100-4721-9c41-a4a336ca4afe	/css/style.css	GET
20221210	23:36:23	ae88956e-34db-4682-8816-72b88bb56316	GET	undefined	/
20221210	23:36:23	6239e98b-7f55-4373-9b70-83d84cf4f0f8	GET	undefined	/css/style.css
20221210	23:36:23	2ca7af25-4254-4c2d-b334-d410f1d08313	GET	undefined	/favicon.ico
20221210	23:38:47	9075ef88-64e5-4024-8f9e-f14fc97ee496	GET	undefined	/
20221210	23:38:47	f2578f9b-fb61-405c-b1b4-1c697da279ad	GET	undefined	/css/style.css
20221210	23:42:24	cfee5485-1d25-4c8b-a6eb-ffa6b03a2616	GET	https://www.google.com	/
20221210	23:53:38	b4d269c3-9782-405b-bf94-880cefaf016d	GET	undefined	/
20221210	23:53:38	242c4570-e487-4254-bc89-05e1650425a3	GET	undefined	/css/style.css
20221210	23:53:41	ee168b4f-097c-4a3d-910e-e686ebd6cddb	GET	undefined	/
20221210	23:53:41	24b56054-b1e1-4e7d-ae7c-fd861a57e05c	GET	undefined	/css/style.css
20221211	00:01:32	54c3803f-258c-4280-a51f-b7f179ad14c2	GET	undefined	/
20221211	00:01:52	5990e5c1-83d1-4a9e-824f-23c06f7f8d3f	GET	undefined	/
20221211	00:01:52	bd3bd56f-24ae-4505-986b-a68307f86098	GET	undefined	/css/style.css
